主編碼,屬性,詞目,音讀,文白,部首
1,1,一,tsi̍t,4,一
2,1,一,it,0,一
3,1,一刀兩斷,it-to-lióng-tuān,0,
4,1,一下,tsi̍t-ē,0,
6,1,一月日,tsi̍t gue̍h-ji̍t/tsi̍t ge̍h-li̍t,0,
7,1,一日到暗,tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm,0,
9,1,一世人,tsi̍t-sì-lâng,0,
10,1,一半,tsi̍t-puànn,0,
11,1,一半个仔,tsi̍t-puànn-ê-á,0,
12,1,一半日仔,tsi̍t-puànn-ji̍t-á/tsi̍t-puànn-li̍t-á,0,
13,1,一四界,tsi̍t-sì-kè/tsi̍t-sì-kuè,0,
14,1,一旦,it-tàn,0,
15,1,一生,it-sing,0,
16,1,一目𥍉仔,tsi̍t-ba̍k-nih-á,0,
17,1,一甲子,tsi̍t kah-tsí,0,
18,1,一百空一,tsi̍t-pah khòng-it,0,
19,1,一來,it--lâi,0,
20,1,一定,it-tīng,0,
21,1,一直,it-ti̍t,0,
22,1,一律,it-lu̍t,0,
23,1,一致,it-tì,0,
24,1,一面,tsi̍t-bīn,0,
25,1,一垺屎,tsi̍t-pû-sái,0,
26,1,一屑仔,tsi̍t-sut-á,0,
27,1,一家伙仔,tsi̍t-ke-hué-á/tsi̍t-ke-hé-á,0,
28,1,一般,it-puann,0,
31,1,一粒一,it-lia̍p-it,0,
33,1,一睏仔,tsi̍t-khùn-á,0,
34,1,一概,it-khài,0,
35,1,一路,tsi̍t-lōo,0,
36,1,一寡,--tsi̍t-kuá,0,
37,1,一寡仔,tsi̍t-kuá-á,0,
38,1,一對時,tsi̍t-tuì-sî,0,
39,1,一霎仔久,tsi̍t-tiap-á-kú,0,
41,1,一點仔,tsi̍t-tiám-á,0,
42,1,一礐屎,tsi̍t-ha̍k-sái,0,
43,1,一觸久仔,tsi̍t-tak-kú-á,0,
45,1,乙,it,0,乙
46,1,丁,ting,0,一
47,1,七,tshit,0,一
48,1,九,káu,2,乙
49,1,九,kiú,1,乙
50,1,了,liáu,0,亅
51,1,二,jī/lī,0,二
52,1,人,jîn/lîn,0,人
53,1,人,lâng,4,人
54,1,入,ji̍p/li̍p,0,入
55,1,八,pat,1,八
56,1,八,peh/pueh,2,八
57,1,刀,to,0,刀
58,1,刁,tiau,0,刀
59,1,力,la̍t,2,力
60,1,力,li̍k,1,力
61,1,十,tsa̍p,2,十
62,1,十,si̍p,1,十
63,1,卜,poh,4,卜
64,1,卜,pok,0,卜
65,1,又,iū,0,又
66,1,十一哥,tsa̍p-it-ko,0,
67,1,了了,liáu-liáu,0,
68,1,了了,--liáu-liáu,0,
69,1,人人,lâng-lâng,0,
70,1,十二分,tsa̍p-jī-hun/tsa̍p-lī-hun,0,
71,1,十二生相,tsa̍p-jī senn-siùnn/tsa̍p-lī sinn-siùnn,0,
72,1,十二指腸,si̍p-jī-tsí-tn̂g/si̍p-lī-tsí-tn̂g,0,
73,1,二九暝,Jī-káu-mê/Lī-káu-mî,0,
74,1,十八骰仔,si̍p-pat-tâu-á,0,
75,1,十八變,tsa̍p-peh-piàn/tsa̍p-pueh-piàn,0,
76,1,七夕,tshit-sia̍h,0,
77,1,了工,liáu-kang,0,
78,1,人工,lâng-kang,0,
79,1,人才,lâng-tsâi,0,
80,1,入土,ji̍p-thóo/li̍p-thóo,0,
81,1,刁工,thiau-kang,0,
82,1,人中,jîn-tiong/lîn-tiong,0,
83,1,七孔,tshit-khóng,0,
84,1,九孔,káu-kháng,0,
85,1,二手,jī-tshiú/lī-tshiú,0,
86,1,入木,ji̍p-bo̍k/li̍p-bo̍k,0,
87,1,八仙,pat-sian,0,
88,1,刀仔,to-á,0,
89,1,八仙桌,pat-sian-toh,0,
90,1,八仙綵,pat-sian-tshái,0,
91,1,刁古董,tiau-kóo-tóng,0,
92,1,了本,liáu-pún,0,
93,1,人民,jîn-bîn/lîn-bîn,0,
94,1,人生,jîn-sing/lîn-sing,0,
95,1,刀石,to-tsio̍h,0,
96,1,十全,tsa̍p-tsn̂g,0,
97,1,十全,si̍p-tsuân,0,
98,1,八字,peh-jī/pueh-lī,0,
99,1,七字仔,tshit-jī-á/tshit-lī-á,0,
100,1,十字架,si̍p-jī-kè/si̍p-lī-kè,0,
101,1,八字跤,pat-jī-kha/pat-lī-kha,0,
102,1,十字路,si̍p-jī-lōo/si̍p-lī-lōo,0,
103,1,七早八早,tshit-tsá-peh-tsá/tshit-tsá-pueh-tsá,0,
104,1,入耳,ji̍p-ní/li̍p-ní,0,
105,1,刀肉,to-bah,0,
106,1,七老八老,tshit-lāu-peh-lāu/tshit-lāu-pueh-lāu,0,
107,1,了尾仔囝,liáu-bué-á-kiánn/liáu-bé-á-kiánn,0,
108,1,二步七仔,--jī-pōo-tshit-á/--lī-pōo-tshit-á,0,
109,1,八角,peh-kak/pueh-kak,0,
